Date,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
8/19/25,81,74.3,70,67,63.4,60,84,69.1,49,15,6.1,0,27.8,27.7,27.6,0.14
8/20/25,78,72.2,69,69,66.7,64,93,83,66,22,7.2,0,27.6,27.6,27.4,0.42
8/21/25,84,76.1,73,67,61.2,52,79,61.7,33,22,13.2,0,27.8,27.7,27.6,0.42
8/22/25,92,83.4,73,63,57.9,51,68,43.9,25,13,4.5,0,27.7,27.7,27.6,0
8/23/25,99,89.2,80,64,56.6,53,48,33.8,23,20,8,0,27.7,27.6,27.5,0
8/24/25,97,90.1,80,67,59.2,56,62,36.6,25,20,5.6,0,27.7,27.6,27.6,0.05
8/25/25,102,92.4,82,62,56.2,46,51,31.5,18,15,5.5,0,27.7,27.6,27.6,0
8/26/25,104,94,80,51,43.4,32,36,19.2,10,16,6.1,0,27.7,27.6,27.6,0
8/27/25,106,94.4,81,45,39.8,34,28,15.6,10,17,7,0,27.7,27.6,27.6,0
8/28/25,106,95.7,84,40,37.7,34,20,13.7,9,15,8,0,27.7,27.6,27.6,0
8/29/25,109,97.4,83,43,37.2,28,24,13.5,6,16,9,3,27.6,27.6,27.5,0
8/30/25,109,96.4,81,46,41.9,37,29,16.3,9,15,5.9,0,27.6,27.5,27.5,0
8/31/25,107,96.8,82,54,45,38,26,17.4,13,28,10.7,0,27.5,27.5,27.4,0
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
9/1/25,91,74.4,64,69,64.4,46,91,74.5,21,33,11.4,0,27.7,27.6,27.4,0
9/2/25,82,74.7,71,70,66.7,64,85,76.2,58,14,5.5,0,27.8,27.7,27.7,1.52
9/3/25,93,81.6,72,69,60.1,41,87,53.5,23,22,8.8,0,27.7,27.6,27.5,0.08
9/4/25,90,79.8,70,52,46,40,46,31.7,17,21,8.7,0,27.6,27.6,27.5,0
9/5/25,92,82,71,52,46.4,37,49,30.8,16,13,4.9,0,27.6,27.6,27.6,0
9/6/25,96,84.5,72,50,44.8,37,44,26.7,14,15,5.3,0,27.7,27.6,27.6,0
9/7/25,91,78.6,72,50,47.2,43,46,34.2,20,8,4.8,0,27.7,27.7,27.6,0
9/8/25,102,93.4,74,48,43.4,39,37,18.7,13,12,5.9,0,27.8,27.7,27.6,0
9/9/25,103,91.9,79,51,48.5,46,35,23.5,15,9,3.8,0,27.8,27.7,27.6,0
9/10/25,90,85.8,80,56,53.1,49,43,32.8,25,23,8.6,0,27.8,27.7,27.7,0
9/11/25,94,84.9,74,57,54.2,50,55,36.6,22,8,3.3,0,27.7,27.6,27.6,0
9/12/25,95,87.6,81,58,54.3,52,41,32.4,23,16,7.7,0,27.6,27.6,27.5,0
9/13/25,93,85.1,76,57,54,49,52,35.2,22,16,6.3,0,27.6,27.6,27.5,0
9/14/25,88,82,75,57,52.1,48,51,36,26,12,4,0,27.7,27.6,27.6,0
9/15/25,94,83.1,72,52,45,36,48,28.8,13,16,6.1,0,27.7,27.7,27.6,0
9/16/25,95,85,73,46,44,42,38,24.8,17,12,4.2,0,27.7,27.7,27.6,0
9/17/25,98,86.6,74,48,44,40,38,24,13,7,4.5,0,27.7,27.6,27.6,0
9/18/25,95,84.4,72,47,39.6,28,38,22.4,10,12,6.6,0,27.6,27.6,27.5,0
9/19/25,93,83.1,71,44,40.7,38,34,22.9,15,13,5.8,0,27.6,27.6,27.5,0
9/20/25,88,77.7,70,58,47,41,53,34.8,20,21,8.7,0,27.5,27.5,27.4,0
9/21/25,87,77,66,51,39.2,21,53,29.4,10,24,11.1,0,27.5,27.5,27.4,0.02
9/22/25,88,77.7,66,39,31.6,22,32,20.2,9,16,7.8,0,27.7,27.6,27.5,0
9/23/25,84,76.6,70,48,39.3,27,40,26.7,16,14,6.4,0,27.7,27.7,27.6,0
9/24/25,90,77,65,48,45,39,52,34.2,18,8,4.3,0,27.8,27.7,27.7,0
9/25/25,93,80,68,45,41.3,38,43,27.3,15,12,4.5,0,27.8,27.7,27.6,0
9/26/25,93,81.3,68,42,34.7,26,35,20.4,9,9,4,0,27.7,27.7,27.6,0
9/27/25,95,81.6,68,36,29.5,21,30,16.6,8,15,4.9,0,27.6,27.6,27.5,0
9/28/25,95,81.2,66,34,31.8,29,29,17.8,10,16,6.7,0,27.6,27.5,27.4,0
9/29/25,95,81.2,66,39,34.6,30,36,20.2,10,16,9.1,0,27.5,27.4,27.4,0
9/30/25,77,72.3,67,44,40.8,33,40,32.5,20,20,12.8,6,27.4,27.4,27.4,0
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
10/1/25,75,67.1,58,45,40.9,38,60,39.7,27,15,7,0,27.6,27.5,27.4,0
10/2/25,74,67.4,58,43,39.2,37,53,36.8,26,10,4,0,27.7,27.6,27.6,0.01
10/3/25,79,70,60,41,39.9,38,49,34.6,23,14,7.5,0,27.7,27.7,27.6,0
10/4/25,87,76.4,67,42,39.8,37,39,27.8,17,16,7.5,0,27.8,27.7,27.7,0
10/5/25,88,78,67,40,37.7,35,35,24.3,16,13,7,0,27.9,27.8,27.7,0
10/6/25,92,80.4,72,39,36.9,33,28,21.9,12,13,6.8,0,27.8,27.7,27.7,0
10/7/25,93,80.5,69,40,38,34,33,22.9,13,10,4.5,0,27.7,27.7,27.6,0
10/8/25,94,81.2,68,40,37,33,36,21.7,12,9,4.2,0,27.7,27.6,27.6,0
10/9/25,94,82.1,68,41,35.9,30,35,20.5,11,15,6,0,27.6,27.5,27.4,0
10/10/25,90,81.8,74,38,34.8,31,25,18.8,13,18,11.2,0,27.4,27.3,27.2,0
10/11/25,85,75.3,66,42,32.2,15,36,22.3,10,23,13.9,3,27.4,27.3,27.2,0
10/12/25,77,68.8,62,28,26.5,24,26,20.9,15,18,9.2,0,27.6,27.6,27.4,0
10/13/25,76,67.5,58,31,28,23,33,23.9,14,7,3.8,0,27.7,27.7,27.6,0
10/14/25,80,67.6,55,32,28.6,24,40,24.8,13,7,3.2,0,27.8,27.8,27.7,0
10/15/25,87,72.4,58,33,29.3,26,35,21.8,11,8,4,0,27.9,27.8,27.8,0
10/16/25,90,75.5,62,35,30.9,28,33,20.8,11,8,4.6,0,27.8,27.7,27.7,0
10/17/25,90,76.5,64,37,33,27,35,22.2,11,10,3.9,0,27.7,27.6,27.6,0
10/18/25,94,79.9,67,35,30,27,25,17.1,10,13,5,0,27.8,27.7,27.7,0
10/19/25,93,79.3,68,38,33.9,31,27,20.1,12,9,4.3,0,27.8,27.7,27.7,0
10/20/25,93,79.8,67,37,33.8,32,31,20,11,12,4.4,0,27.7,27.6,27.6,0
10/21/25,93,79.5,67,36,34.1,31,31,20.2,13,8,5.1,0,27.6,27.5,27.4,0
10/22/25,90,76.3,64,40,33.8,22,37,23.2,8,23,10,0,27.5,27.4,27.3,0
10/23/25,78,70.7,63,42,38.8,32,43,32,22,20,7.5,0,27.4,27.4,27.3,0
10/24/25,81,70.5,60,36,33.3,30,37,26.1,16,12,6.1,0,27.6,27.5,27.5,0
10/25/25,83,71.4,58,37,34.9,33,41,27.7,17,20,11.1,0,27.6,27.5,27.5,0
10/26/25,78,69.7,60,42,39.3,36,46,33.7,24,18,6.5,0,27.6,27.6,27.5,0
10/27/25,75,66.4,55,38,34.8,30,49,31.8,25,14,4.7,0,27.7,27.6,27.6,0
10/28/25,75,65.9,57,31,21,8,37,20,10,22,13,5,27.8,27.6,27.6,0
10/29/25,64,56.1,49,13,9.4,5,22,16.1,11,30,17.6,8,28,27.9,27.8,0
10/30/25,68,57.1,49,16,9.3,4,22,15.5,9,18,8.8,0,28,27.9,27.9,0
10/31/25,72,58.7,48,16,9.1,5,24,15.2,7,8,4.1,0,28,27.9,27.8,0
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
11/1/25,74,61,51,20,11.3,7,25,15.5,8,9,4.5,0,27.9,27.8,27.8,0
11/2/25,76,62.4,51,23,14,9,26,16.4,8,9,3.5,0,27.9,27.8,27.8,0
11/3/25,77,63.3,50,24,17.9,11,31,18.8,8,8,3.4,0,27.9,27.8,27.8,0
11/4/25,77,63.6,51,27,20.4,15,33,20.8,10,7,3.4,0,27.8,27.8,27.7,0
11/5/25,76,64,52,25,21.7,17,32,21.1,12,8,3,0,27.7,27.6,27.6,0
11/6/25,85,72.6,55,39,31.8,23,33,23.2,15,28,12.8,0,27.6,27.5,27.5,0
11/7/25,75,69.2,62,42,36.6,32,43,30.7,23,29,16.6,3,27.7,27.6,27.5,0
11/8/25,68,61.5,57,30,22.3,18,32,22.7,15,24,14.3,5,27.9,27.8,27.7,0
11/9/25,68,58.8,52,20,15.2,9,28,19,11,21,11.3,6,27.9,27.9,27.8,0
11/10/25,67,56.6,45,18,12.1,4,31,18.2,10,12,4,0,27.8,27.8,27.7,0
11/11/25,70,56.5,45,19,12,7,27,18.3,9,8,3.4,0,27.9,27.8,27.8,0
11/12/25,72,57,44,21,16.7,11,37,22.7,10,8,3.7,0,27.9,27.8,27.8,0
11/13/25,72,58.2,46,30,22.4,16,41,27.1,14,8,3.5,0,27.8,27.8,27.7,0
11/14/25,74,60.4,49,35,31.2,29,50,34.8,21,7,5,0,27.8,27.7,27.7,0
11/15/25,70,60.6,50,53,39,31,87,47.5,29,8,4.8,0,27.8,27.7,27.6,0
11/16/25,66,59.4,54,52,50.9,48,90,74.4,56,8,2.9,0,27.8,27.7,27.7,0.05
11/17/25,68,59.4,52,49,46.1,44,80,62.9,43,8,2.8,0,27.8,27.7,27.7,0
11/18/25,72,61.4,52,49,44.3,39,89,56.3,30,17,6.9,0,27.7,27.6,27.6,0
11/19/25,66,58.8,52,42,29.1,18,66,35.9,18,31,17.7,3,27.8,27.7,27.6,0
11/20/25,63,55.3,50,22,17.5,13,31,23,18,30,17.9,7,28.1,28,27.9,0
11/21/25,64,55.2,48,28,23.6,22,39,30.1,21,15,6.3,0,28.2,28.1,28,0
11/22/25,66,54.4,43,29,24.4,21,49,32.8,19,7,2.7,0,28,27.9,27.7,0
11/23/25,63,52.8,46,29,27.2,23,50,38.4,24,7,3.6,0,27.6,27.5,27.4,0
11/24/25,60,54.3,48,31,24,17,48,32,19,21,12.7,5,27.7,27.6,27.5,0
11/25/25,58,49.8,44,23,20.8,18,43,32.6,22,18,10.8,0,27.9,27.8,27.7,0
11/26/25,58,48.8,42,22,20.6,19,41,33.4,24,14,7.9,0,27.9,27.9,27.8,0
11/27/25,59,48.1,39,20,17.6,15,43,31,18,12,5.5,0,27.9,27.9,27.9,0
11/28/25,62,50.3,40,25,19.1,15,47,31.4,16,7,3.9,0,27.9,27.9,27.8,0
11/29/25,61,51.6,43,27,23.3,20,51,34.6,21,13,5,0,27.7,27.6,27.5,0
11/30/25,61,52.8,44,28,25,22,49,34.9,26,14,5.5,0,27.6,27.5,27.5,0
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
12/1/25,62,52.2,42,28,24,22,49,34.5,22,25,8.8,0,27.7,27.6,27.6,0
12/2/25,62,51.8,42,30,25.5,22,50,37,25,9,3.9,0,27.9,27.8,27.7,0
12/3/25,61,51.3,43,31,28.5,26,51,42.3,30,7,4.2,0,27.9,27.9,27.8,0
12/4/25,67,55.5,45,33,30.6,29,56,40.3,25,9,2.6,0,27.9,27.9,27.9,0
12/5/25,71,58,48,33,31.3,26,54,37.9,23,10,4.7,0,28,27.9,27.9,0
12/6/25,69,59,46,31,28.7,27,50,33.2,22,14,6.1,0,27.9,27.8,27.6,0
12/7/25,67,60,52,33,30.5,25,47,33.5,26,26,7.7,0,27.7,27.6,27.6,0
12/8/25,62,55.5,49,31,17,9,40,23,14,20,12.3,6,27.9,27.8,27.6,0
12/9/25,56,47.9,40,11,8.1,4,31,20.5,13,15,7.7,0,28.1,28.1,27.9,0
12/10/25,56,47.4,39,17,9,5,34,22.1,14,10,3.5,0,28.1,28,27.8,0
12/11/25,58,47.8,39,18,13.7,9,39,27,15,6,3.6,0,27.8,27.7,27.6,0
12/12/25,61,50.1,38,20,17.3,12,46,29.3,16,9,4.3,0,27.7,27.6,27.6,0
12/13/25,62,54.2,48,28,25.3,23,44,33.3,24,22,12.5,5,27.8,27.8,27.7,0
12/14/25,61,51,42,27,23.9,22,47,35.5,24,10,4.1,0,28,27.9,27.8,0
12/15/25,64,51.4,42,25,22.3,19,47,33.5,19,7,3.3,0,28,28,27.9,0
12/16/25,66,53,42,23,19,14,42,27.8,16,13,5.3,0,27.9,27.9,27.8,0
12/17/25,65,52.7,44,20,17.1,13,32,25.3,15,9,4.1,0,27.9,27.8,27.8,0
12/18/25,65,53.8,46,25,20.6,17,39,28.5,17,8,3.3,0,27.8,27.7,27.6,0
12/19/25,63,54.9,47,27,24.4,22,42,31.5,21,6,2.8,0,27.6,27.6,27.6,0
12/20/25,67,56.1,45,40,31.5,26,59,40.5,27,8,4,0,27.7,27.6,27.6,0
12/21/25,68,60.2,54,40,38.1,35,57,44.5,36,7,3.4,0,27.8,27.7,27.7,0
12/22/25,56,53.1,48,51,45.1,38,93,75.4,57,9,3.6,0,27.7,27.6,27.6,0
12/23/25,65,54.3,46,45,38.8,30,89,59.1,33,17,7.6,0,27.7,27.6,27.6,0.18
12/24/25,55,46.6,40,32,24,16,62,43.5,22,7,3.2,0,27.9,27.9,27.8,0
12/25/25,56,45.2,36,25,21.7,16,64,42.3,22,7,3.3,0,27.9,27.9,27.8,0
12/26/25,57,47.4,38,26,20.9,15,55,36.9,22,7,2.8,0,27.9,27.9,27.8,0
12/27/25,56,47.6,39,29,25.3,21,60,43.3,27,7,3.1,0,27.9,27.9,27.9,0
12/28/25,64,50.5,41,31,28.4,25,58,44.1,25,9,3.8,0,27.9,27.9,27.9,0
12/29/25,63,51,42,30,27.3,23,62,42.4,22,8,4.1,0,27.9,27.9,27.8,0
12/30/25,63,52.9,42,34,26.3,20,53,37.7,20,14,5.1,0,27.8,27.7,27.6,0
12/31/25,58,51.9,44,36,33.6,30,63,50.2,39,15,4.8,0,27.8,27.8,27.7,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,54.06818182,,,,,,76.52903226,,
