Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in),
4,105,88.5,73,36,31.5,27,23,14.2,7,18,5.9,0,27.7,27.6,27.6,0,
5,102,90.7,82,35,31.7,30,17,12.6,9,14,7.7,0,27.8,27.7,27.7,0,
6,101,88.9,77,35,32.7,30,22,14.3,8,14,5.7,0,27.8,27.7,27.6,0,
7,100,87.5,75,35,32.4,30,23,14.8,9,9,3.5,0,27.7,27.6,27.6,0,
8,99,88.1,78,34,31.6,28,20,13.6,9,13,6.3,0,27.6,27.6,27.5,0,
9,97,83.9,70,35,30.4,23,26,15.8,8,8,4.5,0,27.7,27.6,27.6,0,
10,97,83.2,67,32,27.8,22,22,14,9,12,6.4,0,27.8,27.7,27.6,0,
11,97,84.2,72,34,28.3,20,25,14.5,7,16,7.8,0,27.8,27.7,27.7,0,
12,96,80.6,66,32,27.7,24,26,15.5,9,12,5.7,0,27.8,27.7,27.6,0,
13,92,78,65,29,25.3,21,26,15.4,8,12,5.5,0,27.7,27.6,27.6,0,
14,76,70.3,67,27,24.2,23,22,17.9,15,9,5.1,0,27.7,27.7,27.7,0,
