Event,Start Date,End Date,Venue,Est Attendees
"United Natural Foods, Inc-Central Showcase 2025",7/19/2025,7/26/2025,"Mandalay Bay Convention Center, Resort and Casino",55000
Association of Woodworking & Furnishing Suppliers Fair 2025,7/22/2025,7/25/2025,Las Vegas Convention Center,42000
Deafnation World Expo 2025,7/22/2025,7/25/2025,Westgate Las Vegas Resort & Casino,71000
CHAMPS Trade Show Summer 2025,7/23/2025,7/26/2025,Las Vegas Convention Center,36000
National School Safety Conference 2025,7/26/2025,8/2/2025,Virgin Hotels Las Vegas,52000
BlackHat / WebTech USA Conference 2025,8/2/2025,8/7/2025,"Mandalay Bay Convention Center, Resort and Casino",64000
Annual Conference & Career Fair 2025,8/4/2025,8/9/2025,Fontainebleau Las Vegas,73000
PHP Agency 2025 National Convention,8/10/2025,8/14/2025,MGM Grand Hotel and Casino,25000
"Army Navy Military Expo, Inc-Summer Tradeshow 2025",8/17/2025,8/19/2025,The LINQ Hotel + Experience,68000
VMware Explore,8/24/2025,8/29/2025,The Venetian Expo,38000
Consumer Attorneys Association of Los Angeles - 43rd Annual Convention,8/28/2025,9/1/2025,Wynn Las Vegas,19000
Jiu Jitsu Con 2025,8/28/2025,8/30/2025,Las Vegas Convention Center,17000
RE+ 2025,9/8/2025,9/11/2025,The Venetian Resort Las Vegas,83000
Groceryshop 2025,9/10/2025,9/17/2025,"Mandalay Bay Convention Center, Resort and Casino",27000
Antique Purse Collector's Society Convention,9/11/2025,9/13/2025,"Treasure Island  - TI Hotel & Casino, a Radisson Hotel",44000
International Baking Industry Expo 2025,9/14/2025,9/17/2025,Las Vegas Convention Center,42000
International Fastener Expo 2025,9/15/2025,9/17/2025,"Mandalay Bay Convention Center, Resort and Casino",13000
GSE Expo 2025,9/16/2025,9/18/2025,Las Vegas Convention Center,41000
HR Technology Conference 2025,9/16/2025,9/19/2025,"Mandalay Bay Convention Center, Resort and Casino",22000
Las Vegas Souvenir & Resort Gift Show - 2025,9/16/2025,9/19/2025,Las Vegas Convention Center,98000
The Grimoire Exhibition,9/20/2025,9/20/2025,Las Vegas Convention Center,52000
TRAVCON 2025,9/21/2025,9/24/2025,Paris Las Vegas,78000
Annual Women's Healthcare Conference 2025,9/28/2025,10/4/2025,Caesars Palace,26000
PACK EXPO Las Vegas and Healthcare Packaging EXPO 2025,9/29/2025,10/1/2025,Las Vegas Convention Center,73000
Applied Net Client Network Conference 2025,10/4/2025,10/9/2025,ARIA Resort & Casino,83000
DBT Labs-Coalesce 2025,10/4/2025,10/11/2025,Resorts World Las Vegas,2000
IMEX America 2025,10/7/2025,10/9/2025,"Mandalay Bay Convention Center, Resort and Casino",69000
CANA Regional Meeting 2025,10/9/2025,10/12/2025,Planet Hollywood Resort & Casino,25000
Wireless Internet Service Providers Association-WISPAPALOOZA 2025,10/13/2025,10/16/2025,Horseshoe Las Vegas,2000
"National Business Aviation Association, Inc. (NBAA) - Convention and Exhibition 2025",10/14/2025,10/16/2025,Las Vegas Convention Center,9000
"CME Science (CMES) Advanced PET Imaging, Nuclear Medicine, and Therapy",10/16/2025,10/17/2025,Encore at Wynn Las Vegas,58000
METALCON International 2025,10/21/2025,10/23/2025,Las Vegas Convention Center,59000
"National Business Aviation Association, Inc. (NBAA) - Convention and Exhibition 2025",10/22/2025,10/24/2025,Las Vegas Convention Center,6000
AREAA National Convention 2025,10/24/2025,10/26/2025,Caesars Palace,91000
Center for Inquiry CSICon 2025,10/24/2025,10/27/2025,Horseshoe Las Vegas,31000
LVMPD Trunk or Treat 2025,10/24/2025,10/24/2025,Las Vegas Convention Center,56000
Art Knife Invitational 2025,10/26/2025,10/26/2025,Palms Casino Resort,81000
National Congress of American Indians (NCAI) Annual Convention & Marketplace 2025,10/27/2025,11/1/2025,MGM Grand Hotel and Casino,55000
Nevada Bridal & Wedding Expo - Oct 2025,10/27/2025,10/27/2025,Las Vegas Convention Center,5000
SupplySide West Trade Show & Conference 2025,10/28/2025,11/1/2025,"Mandalay Bay Convention Center, Resort and Casino",67000
Urban Land Institute Fall Meeting 2025,10/28/2025,10/30/2025,Resorts World Las Vegas,39000
SorceryCon 2025,11/1/2025,11/3/2025,Park MGM Las Vegas,38000
Cash Bash 2025,11/3/2025,11/6/2025,Four Seasons Hotel Las Vegas,54000
American Film Market 2025,11/5/2025,11/10/2025,Palms Casino Resort,77000
Automotive Aftermarket Industry Week (AAIW) 2025,11/5/2025,11/8/2025,CAESARS FORUM Conference Center,18000
Automotive Aftermarket Products Expo (AAPEX) Co-located with Automotive Aftermarket Industry Week - 2025,11/5/2025,11/7/2025,CAESARS FORUM Conference Center,18000
SEMA Show 2025,11/5/2025,11/8/2025,Las Vegas Convention Center,31000
The Learning Guild DevLearn Conference & Expo 2025,11/6/2025,11/8/2025,MGM Grand Hotel and Casino,53000
UKG Aspire 2025,11/11/2025,11/14/2025,"Mandalay Bay Convention Center, Resort and Casino",89000
"Skin, Bones, Hearts & Private Parts Conference 2025",11/12/2025,11/15/2025,Harrah's Las Vegas,53000
Association of United States Postal Lessors Regional Meeting,11/13/2025,11/13/2025,The Cosmopolitan of Las Vegas,95000
Wedding MBA Convention 2025,11/13/2025,11/14/2025,Las Vegas Convention Center,45000
Guide Dogs of America - Las Vegas Charity Weekend 2025,11/14/2025,11/16/2025,Paris Las Vegas,17000
DesignerCon 2025,11/15/2025,11/17/2025,Plaza Hotel & Casino,17000
Jump Tour - Las Vegas 2025,11/15/2025,11/17/2025,Hilton Lake Las Vegas Resort & Spa,78000
ComplexCon - 2025,11/16/2025,11/17/2025,Las Vegas Convention Center,17000
SnowJam Ski & Snowboard Show 2025,11/16/2025,11/17/2025,Las Vegas Convention Center,8000
ISSA Show North America - 2025,11/18/2025,11/21/2025,"Mandalay Bay Convention Center, Resort and Casino",18000
Insights Building Supply Conference,11/18/2025,11/20/2025,MGM Grand Hotel and Casino,81000
OpenText World 2025,11/18/2025,11/21/2025,The Venetian Expo,90000
Diving Equipment & Marketing Association - DEMA Show 2025,11/19/2025,11/22/2025,Las Vegas Convention Center,68000
American Contract Bridge League - North American Bridge Championship,11/28/2025,12/8/2025,Westgate Las Vegas Resort & Casino,37000
Amazon Web Services - re:Invent 2025,12/2/2025,12/6/2025,The Venetian Resort Las Vegas,51000
American Academy of Pediatrics (AAP) Annual Meeting,12/4/2025,12/9/2025,Caesars Palace,41000
Colorado River Water Users Association - 2025 Annual Conference,12/4/2025,12/6/2025,Paris Las Vegas,57000
Cowboy Christmas 2025,12/5/2025,12/14/2025,Las Vegas Convention Center,1000
Rocky Mountain Elk Foundation - 2025,12/5/2025,12/14/2025,Las Vegas Convention Center,60000
Digital Signage Experience 2025,12/7/2025,12/10/2025,Las Vegas Convention Center,39000
Connect User Conference 2025,12/8/2025,12/12/2025,Resorts World Las Vegas,52000
Live Design International - LDI Show 2025,12/8/2025,12/10/2025,Las Vegas Convention Center,28000
"IT Infrastructure, Operations and Cloud Strategies Conference 2025",12/10/2025,12/12/2025,The Venetian Resort Las Vegas,66000
Miss International Queen USA 2025,12/10/2025,12/12/2025,Harrah's Las Vegas,86000
National Ground Water Association (NGWA) Expo & Annual Meeting 2025,12/11/2025,12/12/2025,Las Vegas Convention Center,70000
Gin Rummy Association - 2025 Holiday Classic,12/13/2025,12/16/2025,Horseshoe Las Vegas,71000
NDHHS Commission Engagement Conference 2025,12/13/2025,12/14/2025,Santa Fe Station Hotel Casino,85000
